mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.2071383476257324,0.008708578580790372,0.002606821060180664,0.00036531643973275804,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9196516928943614,0.9320806277899986,0.9338389867088206,0.9429752594464768,0.9466322368312389,0.9350357607341794,0.009427072925971463,1,-4.485993448614632,-4.452600959159309,-4.24936243208234,-3.8419620847160956,-3.9891206564430344,-4.203807916203082,0.25322910263656084,1
0.1827376365661621,0.009215833606256937,0.0021990299224853515,0.0002453040828249526,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9169904502262215,0.9305190841429317,0.9335421178468783,0.943084566499688,0.9485263743892116,0.9345325186209863,0.010897506464793637,2,-4.559679306618587,-4.503495273107024,-4.258885347316758,-3.8382781136138937,-3.917689853991827,-4.215605578929618,0.29471007437744173,2
0.28379998207092283,0.0056883170522865,0.0025007247924804686,1.3093500344987852e-06,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9042361923490546,0.9287679711787769,0.9300319608922744,0.946262718713274,0.9410129601346787,0.9300623606536117,0.014498514184628535,3,-4.897460843772343,-4.559892466449166,-4.369910591657249,-3.7295742771366656,-4.193879745765951,-4.3501435849562755,0.3881922623869721,3
0.3168011665344238,0.023108969786254107,0.002700138092041016,0.0002446698993302138,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.8998001700632804,0.9294186769323269,0.9315170779579561,0.9459351698356286,0.9408547343469558,0.9295051658272296,0.016032465695499955,4,-5.00960820736502,-4.539017337114087,-4.323284753709983,-3.740923585629246,-4.199500773113445,-4.362466931386357,0.4157814857067489,4
0.12349996566772461,0.006914508577192449,0.0021998405456542967,0.0002453228890143369,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9037021078033924,0.9265867363774906,0.9289876962857588,0.9451514675956667,0.9403186623964266,0.9289493340917471,0.014385941269525235,5,-4.91109867522391,-4.629181508722401,-4.402400011643834,-3.7679395038770496,-4.218489245249352,-4.385821788943309,0.38605525415859887,5
0.13840699195861816,0.019104392919596806,0.002599954605102539,0.00019991883361280256,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.8983584874374376,0.9266933279079301,0.93035622068499,0.9437462061000963,0.93951783537938,0.9277344155019669,0.015913071970014736,6,-5.045518805838115,-4.62581964496968,-4.359772878382294,-3.815902982516342,-4.2466975841708186,-4.41874237917545,0.40797593916924324,6
0.07401762008666993,0.0038326116032467426,0.0021160602569580077,0.00019477742071963348,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.8981686094245555,0.9218831328054768,0.9250047846330467,0.9400889724054262,0.9372617454116775,0.9244814489360366,0.014874954903971189,7,-5.050229411028666,-4.775175668932571,-4.5241758624383355,-3.9379917315633697,-4.325177033800936,-4.522549941552776,0.38024528658214507,7
0.06370234489440918,0.0026381973937846417,0.0020027637481689455,5.939255172853161e-06,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.8935440714610787,0.9204960561234152,0.9245274601830191,0.9396627898815355,0.937479054427854,0.9231418864153806,0.01651330082463493,8,-5.163630956102409,-4.817384161527634,-4.5385506093959025,-3.9519735409303474,-4.3176798912909815,-4.557843831849455,0.41460076672281787,8
0.45509872436523435,0.04978557290412451,0.0026068687438964844,0.00021207935014845838,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.8869285833654275,0.9290255510583847,0.9189918879675348,0.937088948691303,0.9306565910660538,0.9205383124297407,0.017778310713664605,9,-5.321654634712493,-4.551640558584117,-4.702046886249766,-4.03538417889589,-4.547160315880337,-4.63157731486452,0.41234331277662783,9
0.2135009288787842,0.03205027135219192,0.0026986122131347655,0.0006774810385509532,0.1,0.1,9,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.8869282481004871,0.9290255427822814,0.9189918541664054,0.9370891811901629,0.9306566114055885,0.9205382875289849,0.01777848287858194,10,-5.32166252425237,-4.551640823960223,-4.7020478672285515,-4.035376722152847,-4.547159649002739,-4.6315775173193465,0.4123481603217247,10
0.07689909934997559,0.0032313341789457994,0.002102041244506836,0.00019996566337502283,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9012334233726988,0.916541635770704,0.9144664185658035,0.9313462759260489,0.9381285876744225,0.9203432682619356,0.013050361741352035,11,-4.973650568710868,-4.935735498453251,-4.831600622511976,-4.215542437870045,-4.2951930378205105,-4.650344433073331,0.32680698044324713,12
0.08410019874572754,0.004684473050856365,0.002603435516357422,0.0004938448371962564,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9012337598640858,0.9156148812697221,0.9170204235709958,0.9313462759260489,0.9362924129563279,0.920301550717436,0.012441904548479186,12,-4.973642096249531,-4.963064015366936,-4.758918933879538,-4.215542437870045,-4.358461863792733,-4.653925869431757,0.3125019725509104,13
0.11160125732421874,0.016661299370385414,0.002395772933959961,0.00019844210683483908,0.1,0.1,9,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.8864063443628688,0.928074416920673,0.9188059969402282,0.936391976972164,0.9305570465673926,0.9200471563526653,0.017749887738551025,13,-5.333929947342607,-4.5820375049815,-4.707438738022067,-4.0576759830318005,-4.550422936446622,-4.646301021964919,0.4089922255245218,11
0.4284667015075684,0.04169443014109845,0.0026013851165771484,0.00019969903750964777,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.8791516039274774,0.9281560806687613,0.9188412372041543,0.9330404414466954,0.9305405954293119,0.9179459917352799,0.01998258421807096,14,-5.5016215811236835,-4.579435561327221,-4.706417053036292,-4.163204137521901,-4.550961905480114,-4.700328047697843,0.43989447263648396,14
0.22073702812194823,0.007964208110308468,0.0026990413665771485,0.0002459479468718945,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.8790743324685943,0.9278104744139541,0.9188412068331581,0.9331538650695024,0.9304710840343313,0.917870192563908,0.01998621496738311,15,-5.503380191106473,-4.590437068303821,-4.706417933647065,-4.159676591610026,-4.553238520194579,-4.702630060972393,0.44066283910529047,15
0.09660725593566895,0.003995979839652452,0.002200603485107422,0.0002450902174079093,0.01,0.1,9,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.8777528682279572,0.9258794667694832,0.9183948732218155,0.9329199709051784,0.9297891665525106,0.916947269135389,0.02018971176493889,16,-5.533368694558124,-4.65142702199055,-4.719341686162849,-4.16694757671103,-4.575512396898468,-4.729319475264204,0.44555150257567455,17
0.4946542739868164,0.020528728393097363,0.0032993316650390624,0.0002445860706881741,0.01,0.01,9,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.8735877722633004,0.9186219324625097,0.9183685122405112,0.9418546440160714,0.931286081935443,0.9167437885835671,0.02328365200096718,17,-5.626843186068153,-4.873832844455419,-4.720103871320236,-3.879528373290719,-4.526473983053451,-4.725356451637596,0.5638671005846229,16
0.5154194355010986,0.044765503195574076,0.0034173965454101563,0.00021150470005388398,0.1,0.01,9,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.874541422620825,0.9183424305062553,0.9189405296865099,0.9408368839193617,0.9306163611733208,0.9166555255812545,0.02263319500933677,18,-5.60557863048141,-4.882195528432715,-4.703537173926368,-3.913334174595925,-4.548479152450958,-4.730624931977475,0.545965682799272,18
0.32525148391723635,0.02947604625517412,0.002799701690673828,0.00025101925434862994,0.01,0.01,6,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8750224706437715,0.9062248767239695,0.9191785636779289,0.9300813096687195,0.9304872990187805,0.9121989039466338,0.02059484242750194,19,-5.594821524824735,-5.231916039227202,-4.696626045161949,-4.254201515740963,-4.552707554079062,-4.866054535806782,0.48295184574263006,19
0.3299996376037598,0.023122268004381163,0.002699422836303711,0.0002460257664350858,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.8754003657628473,0.9055785815839483,0.9188669694273239,0.9303007345006417,0.9305553020940505,0.9121403906737623,0.02052822779122066,20,-5.586356577568858,-5.249914180537124,-4.705670884841941,-4.24752082006896,-4.550480091573694,-4.867988510918115,0.4845737631722821,20
0.04160089492797851,0.0021997605690152675,0.002199220657348633,0.00024504825330202957,0.1,0.1,3,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.881173578025794,0.8941749689765263,0.8974041066901669,0.9125309628049896,0.9211902103527178,0.9012947653700388,0.014090931620347419,21,-5.455402264461357,-5.557905346174516,-5.291608296023928,-4.75826459787806,-4.847610933392925,-5.182158287586157,0.32231513140262036,21
0.0404022216796875,0.0032948089459826483,0.0019998550415039062,1.0337583250369453e-06,0.01,0.1,3,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.881173578025794,0.894150609811431,0.8973506080409264,0.9125309628049896,0.9198293391514054,0.9010070195669094,0.013717332726463983,22,-5.455402264461357,-5.558544978133987,-5.292987771321587,-4.75826459787806,-4.88928556929513,-5.190897036218024,0.31422630279480074,22
0.07159972190856934,0.0023746002672922497,0.0020009994506835936,1.37706080228745e-06,0.1,1,3,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.8779553776424751,0.854159739748434,0.9051933948724262,0.9214440602008028,0.9030317095626363,0.8923568564053548,0.02362717480294311,23,-5.528783622945775,-6.524626555074341,-5.086768787198719,-4.509318693631202,-5.377154828947635,-5.405330497559534,0.6592688257341554,23
0.17539710998535157,0.0038365998919890616,0.002200937271118164,0.00024471804203717056,0.1,1,3,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.8750818695726672,0.8544445081613481,0.9044851173012028,0.9209655846599355,0.9054050538628678,0.8920764267116044,0.023963253606182674,24,-5.593491822182191,-6.518253433478847,-5.105734450286742,-4.523030726421281,-5.310942986906393,-5.4102906838550915,0.655896151535893,24
0.1876760482788086,0.00907513799484011,0.0023998737335205076,0.00020013301459019064,0.01,1,3,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.8667646425150553,0.8555243723326056,0.9004280121313297,0.9278445068274804,0.9074579411620308,0.8916038949937002,0.02668826779093468,25,-5.776702677847651,-6.494029228580824,-5.213042778579113,-4.3217149183279435,-5.25299818559266,-5.411697557785638,0.715175775545143,25
0.07200002670288086,0.004049945458066836,0.0020999908447265625,0.00020003492129533018,0.01,1,3,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.8700972006015399,0.8499034043879914,0.9004306935653381,0.9289675310707947,0.89976042990044,0.8898318519052208,0.02729927058552348,26,-5.70400010282334,-6.619152164960431,-5.212972585522801,-4.287951560240521,-5.467103173810834,-5.458235917471585,0.7533823432359594,26
0.03459949493408203,0.0004908220256286044,0.001699972152709961,0.00024514552148900476,0.01,1,3,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.87831156942622,0.8477253896382848,0.9083440160353138,0.92068506442055,0.887063996093729,0.8884260071228196,0.025290595265278465,27,-5.520709747025011,-6.667003643722541,-5.001532694394049,-4.531050509937301,-5.803017503529551,-5.50466281972169,0.726824609536695,27
